country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,_merge,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
United_States_of_America,USA,609516,26057,327167434,8.5147705,5.784986,4.4159412,2,both in master and using data,United States of America,20,.79799998,.69999999,.56599998
Canada,CAN,27046,903,37058856,7.568892,4.4321189,2.9561684,20,both in master and using data,Canada,66,.866,.77600002,.61900002
Cuba,CUB,766,21,11338138,7.0545416,2.8847954,1.3424227,40,both in master and using data,Cuba,155,.20299999,.090000004,.133
Haiti,HTI,40,3,11123176,7.0462289,1.6127839,.60206002,41,both in master and using data,Haiti,26,.449,.23899999,.25400001
Dominican_Republic,DOM,3286,183,10627165,7.0264173,3.5167997,2.2648177,42,both in master and using data,Dominican Republic,114,.59799999,.322,.38299999
Jamaica,JAM,105,5,2934855,6.467587,2.0253057,.77815127,51,both in master and using data,Jamaica,120,.81,.69,.55900002
Trinidad_and_Tobago,TTO,113,8,1389858,6.1429706,2.0569048,.95424253,52,both in master and using data,Trinidad and Tobago,135,.74400002,.63300002,.47400001
Barbados,BRB,73,5,286641,5.4573398,1.8692317,.77815127,53,both in master and using data,Barbados,147,.82200003,.72600001,.373
Mexico,MEX,5399,406,126190788,8.1010275,3.7323937,2.6095943,70,both in master and using data,Mexico,3,.70999998,.486,.414
Guatemala,GTM,180,5,17247807,7.2367339,2.2576785,.77815127,90,both in master and using data,Guatemala,78,.59399998,.396,.37
Honduras,HND,419,31,9587522,6.9817066,2.6232493,1.50515,91,both in master and using data,Honduras,27,.36000001,.19499999,.23999999
El_Salvador,SLV,159,6,6420744,6.8075852,2.2041199,.84509802,92,both in master and using data,El Salvador,22,.63099998,.43700001,.37599999
Nicaragua,NIC,12,1,6465513,6.8106031,1.1139433,.30103001,93,both in master and using data,Nicaragua,59,.245,.057999998,.16
Costa_Rica,CRI,618,3,4999441,6.6989217,2.7916906,.60206002,94,both in master and using data,Costa Rica,73,.889,.81599998,.63599998
Panama,PAN,3574,95,4176873,6.6208515,3.5532761,1.9822712,95,both in master and using data,Panama,92,.78299999,.59200001,.50300002
Colombia,COL,2979,127,49648685,7.6959076,3.4742162,2.1072099,100,both in master and using data,Colombia,15,.667,.50300002,.45500001
Venezuela,VEN,193,9,28870195,7.4604497,2.2878017,1,101,both in master and using data,Venezuela,51,.229,.086000003,.152
