RESPNO,Age,InterestPublicAffairs,DiscussPolitics,InformalPP,FormalPP,TrustPresident,TrustParliament,TrustJudiciary,Education
SRL0001,55,3,2,3,1,3,3,1,6
SRL0002,34,1,0,3,0,1,1,0,2
SRL0003,27,0,0,4,0,1,1,2,4
SRL0004,36,0,0,1,1,2,0,9,0
SRL0005,78,3,0,4,0,1,1,0,0
SRL0006,25,3,1,1,0,2,2,0,0
SRL0007,35,9,9,1,0,9,9,9,0
SRL0008,29,2,1,2,1,9,2,1,0
SRL0009,42,2,1,4,1,3,3,3,5
SRL0010,40,0,0,0,0,3,0,9,0
SRL0011,53,0,0,9,0,0,9,2,0
SRL0012,36,3,0,4,1,2,0,0,4
SRL0013,31,3,0,4,0,2,0,1,5
SRL0014,37,3,1,4,0,2,1,1,5
SRL0015,47,9,9,9,0,2,9,9,0
SRL0016,34,3,1,3,0,2,2,9,1
SRL0017,52,0,2,1,0,3,0,3,4
SRL0018,30,0,0,3,0,3,3,3,3
SRL0019,47,0,1,4,1,3,0,0,4
SRL0020,28,1,1,3,1,0,0,0,5
SRL0021,23,3,0,1,1,2,1,1,4
SRL0022,65,9,9,4,1,9,2,1,0
SRL0023,46,9,9,3,1,0,0,2,0
SRL0024,45,9,9,9,1,2,9,9,0
SRL0025,45,3,2,2,1,3,3,3,5
SRL0026,31,1,1,0,0,3,3,3,0
SRL0027,31,0,0,0,1,0,0,9,0
SRL0028,62,3,2,3,1,0,0,0,4
SRL0029,32,0,0,1,0,2,2,9,0
SRL0030,40,1,0,3,0,1,1,0,4
SRL0031,41,0,0,3,0,0,1,1,0
SRL0032,35,9,9,0,0,0,9,3,0
SRL0033,40,1,0,4,1,3,3,3,0
SRL0034,25,1,1,4,0,3,0,3,0
SRL0035,22,9,0,3,0,1,9,9,0
SRL0036,31,2,1,4,0,9,9,9,0
SRL0037,35,0,0,3,0,2,1,1,0
SRL0038,55,3,0,4,0,1,0,2,5
SRL0039,55,9,9,9,9,1,0,9,0
SRL0040,54,3,1,3,0,2,9,9,0
SRL0041,48,0,0,2,0,2,1,2,5
SRL0042,36,3,2,4,0,3,3,3,4
SRL0043,29,0,0,1,0,1,0,9,0
SRL0044,34,0,0,0,0,1,1,2,5
SRL0045,37,0,1,4,0,1,0,0,4
SRL0046,75,3,1,4,1,1,1,0,3
SRL0047,37,3,1,4,0,0,0,1,4
SRL0048,36,9,9,9,1,1,9,9,2
SRL0049,25,3,2,1,1,3,1,3,2
SRL0050,20,0,0,1,0,3,3,3,4
SRL0051,999,0,1,4,1,1,0,0,0
SRL0052,999,0,0,4,0,1,0,9,0
SRL0053,30,3,1,4,1,1,0,2,5
SRL0054,34,3,0,1,0,2,2,1,4
SRL0055,39,9,9,1,1,9,9,9,0
SRL0056,25,0,0,4,0,1,9,9,4
SRL0057,42,2,1,4,1,3,1,1,0
SRL0058,45,2,1,4,0,3,3,3,1
SRL0059,999,0,0,4,0,2,0,3,0
SRL0060,19,2,1,4,0,1,9,9,4
SRL0061,90,3,0,4,0,2,2,2,0
SRL0062,20,2,9,2,0,1,1,1,2
SRL0063,56,9,0,1,0,9,9,9,0
SRL0064,34,9,9,2,0,1,9,9,0
SRL0065,45,2,1,2,0,3,9,3,0
SRL0066,42,3,2,4,1,3,3,3,5
SRL0067,38,1,1,4,1,0,0,0,0
SRL0068,24,0,0,4,1,9,9,9,2
SRL0069,34,3,0,4,0,1,1,1,0
SRL0070,45,3,0,0,0,2,2,1,4
SRL0071,61,9,9,2,0,1,9,1,2
SRL0072,31,9,9,2,0,1,9,9,2
SRL0073,46,0,0,1,0,0,0,0,0
SRL0074,50,3,0,4,0,1,0,0,0
SRL0075,41,0,0,4,1,1,0,0,1
SRL0076,47,0,1,4,1,1,0,0,0
SRL0077,34,3,1,4,0,3,1,2,4
SRL0078,33,3,0,4,0,2,1,1,2
SRL0079,51,9,9,2,0,9,9,9,0
SRL0080,41,9,9,1,0,2,9,9,2
SRL0081,54,3,2,3,1,3,1,1,5
SRL0082,29,0,0,0,0,3,1,9,0
SRL0083,36,0,0,3,1,9,9,9,0
SRL0084,33,2,1,4,0,2,0,0,0
SRL0085,40,3,1,1,0,2,2,1,0
SRL0086,23,3,2,3,1,2,1,1,0
SRL0087,48,1,1,4,1,2,2,9,2
SRL0088,31,2,1,3,0,1,0,9,0
SRL0089,47,2,1,1,0,1,1,1,3
SRL0090,27,0,0,0,0,3,1,9,2
SRL0091,28,0,0,2,0,0,0,0,0
SRL0092,39,2,1,3,0,2,0,0,4
SRL0093,40,3,0,4,0,2,1,1,3
SRL0094,60,2,1,0,0,1,2,1,0
SRL0095,23,9,9,4,0,1,9,3,4
SRL0096,72,9,9,2,0,9,9,9,0
SRL0097,21,2,1,1,0,3,3,1,4
SRL0098,67,0,2,3,1,2,1,2,6
SRL0099,27,0,0,1,0,1,0,0,4
SRL0100,31,2,2,1,0,0,0,0,3
SRL0101,66,3,2,3,1,2,1,2,0
SRL0102,39,1,1,4,1,0,0,2,0
SRL0103,45,9,9,4,1,1,0,9,2
SRL0104,46,2,1,4,0,9,9,9,2
SRL0105,27,9,9,2,1,1,0,1,2
SRL0106,26,0,0,4,0,1,0,9,0
SRL0107,32,3,2,3,1,2,1,2,6
SRL0108,20,0,1,3,0,0,2,1,0
SRL0109,35,2,1,4,1,1,0,2,3
SRL0110,25,3,1,2,0,3,3,0,4
SRL0111,75,2,1,4,0,3,3,3,5
SRL0112,18,0,9,1,0,2,2,2,4
SRL0113,30,2,1,3,0,3,3,3,0
SRL0114,37,0,0,1,0,3,0,9,0
SRL0115,60,1,1,4,1,2,2,9,0
SRL0116,33,0,0,1,0,2,1,9,0
SRL0117,46,1,1,3,1,2,1,1,0
SRL0118,28,1,1,4,0,0,0,0,1
SRL0119,45,9,9,1,1,2,0,2,0
SRL0120,42,1,0,3,0,2,0,2,6
