RESPNO,FormalPP,InformalPP,TrustPresident,TrustParliament,TrustJudiciary,Age,InterestPublicAffairs,DiscussPolitics,Education
SRL0001,1,3,3,3,1,55,3,2,6
SRL0002,0,3,1,1,0,34,1,0,2
SRL0003,0,4,1,1,2,27,0,0,4
SRL0004,1,1,2,0, ,36,0,0,0
SRL0005,0,4,1,1,0,78,3,0,0
SRL0006,0,1,2,2,0,25,3,1,0
SRL0007,0,1, , , ,35, , ,0
SRL0008,1,2, ,2,1,29,2,1,0
SRL0009,1,4,3,3,3,42,2,1,5
SRL0010,0,0,3,0, ,40,0,0,0
SRL0011,0, ,0, ,2,53,0,0,0
SRL0012,1,4,2,0,0,36,3,0,4
SRL0013,0,4,2,0,1,31,3,0,5
SRL0014,0,4,2,1,1,37,3,1,5
SRL0015,0, ,2, , ,47, , ,0
SRL0016,0,3,2,2, ,34,3,1,1
SRL0017,0,1,3,0,3,52,0,2,4
SRL0018,0,3,3,3,3,30,0,0,3
SRL0019,1,4,3,0,0,47,0,1,4
SRL0020,1,3,0,0,0,28,1,1,5
SRL0021,1,1,2,1,1,23,3,0,4
SRL0022,1,4, ,2,1,65, , ,0
SRL0023,1,3,0,0,2,46, , ,0
SRL0024,1, ,2, , ,45, , ,0
SRL0025,1,2,3,3,3,45,3,2,5
SRL0026,0,0,3,3,3,31,1,1,0
SRL0027,1,0,0,0, ,31,0,0,0
SRL0028,1,3,0,0,0,62,3,2,4
SRL0029,0,1,2,2, ,32,0,0,0
SRL0030,0,3,1,1,0,40,1,0,4
SRL0031,0,3,0,1,1,41,0,0,0
SRL0032,0,0,0, ,3,35, , ,0
SRL0033,1,4,3,3,3,40,1,0,0
SRL0034,0,4,3,0,3,25,1,1,0
SRL0035,0,3,1, , ,22, ,0,0
SRL0036,0,4, , , ,31,2,1,0
SRL0037,0,3,2,1,1,35,0,0,0
SRL0038,0,4,1,0,2,55,3,0,5
SRL0039, , ,1,0, ,55, , ,0
SRL0040,0,3,2, , ,54,3,1,0
SRL0041,0,2,2,1,2,48,0,0,5
SRL0042,0,4,3,3,3,36,3,2,4
SRL0043,0,1,1,0, ,29,0,0,0
SRL0044,0,0,1,1,2,34,0,0,5
SRL0045,0,4,1,0,0,37,0,1,4
SRL0046,1,4,1,1,0,75,3,1,3
SRL0047,0,4,0,0,1,37,3,1,4
SRL0048,1, ,1, , ,36, , ,2
SRL0049,1,1,3,1,3,25,3,2,2
SRL0050,0,1,3,3,3,20,0,0,4
SRL0051,1,4,1,0,0, ,0,1,0
SRL0052,0,4,1,0, , ,0,0,0
SRL0053,1,4,1,0,2,30,3,1,5
SRL0054,0,1,2,2,1,34,3,0,4
SRL0055,1,1, , , ,39, , ,0
SRL0056,0,4,1, , ,25,0,0,4
SRL0057,1,4,3,1,1,42,2,1,0
SRL0058,0,4,3,3,3,45,2,1,1
SRL0059,0,4,2,0,3, ,0,0,0
SRL0060,0,4,1, , ,19,2,1,4
SRL0061,0,4,2,2,2,90,3,0,0
SRL0062,0,2,1,1,1,20,2, ,2
SRL0063,0,1, , , ,56, ,0,0
SRL0064,0,2,1, , ,34, , ,0
SRL0065,0,2,3, ,3,45,2,1,0
SRL0066,1,4,3,3,3,42,3,2,5
SRL0067,1,4,0,0,0,38,1,1,0
SRL0068,1,4, , , ,24,0,0,2
SRL0069,0,4,1,1,1,34,3,0,0
SRL0070,0,0,2,2,1,45,3,0,4
SRL0071,0,2,1, ,1,61, , ,2
SRL0072,0,2,1, , ,31, , ,2
SRL0073,0,1,0,0,0,46,0,0,0
SRL0074,0,4,1,0,0,50,3,0,0
SRL0075,1,4,1,0,0,41,0,0,1
SRL0076,1,4,1,0,0,47,0,1,0
SRL0077,0,4,3,1,2,34,3,1,4
