prosecutors,yearsincharge
尹鎮衡,6
孔令則,24
王化歐,7
王名馴,9
王金嶽,2
王政琬,14
王昧爽,1
王惠然,2
王潔卿,42
王樹芝,1
史錫恩,2
甘勵行,41
石澄清,2
朱樑,8
朱錫勇,5
江顯榮,1
何亢,18
余伯安,1
吳陳鐶,4
吳傑生,2
吳德雄,1
吳龍城,87
吳寶珍,4
呂秀亭,5
宋介申,1
李幻,1
李廷肅,1
李宗蔭,7
李尚志,10
李承訓,9
李明德,14
李長生,3
李雲青,3
李新會,11
李瑞泰,1
李興宣,1
李繼宗,2
李繼唐,25
杜峻嶺,110
沈方維,17
沈志純,9
沈棱,1
汪弘杰,2
汪喬椿,13
汪輔,2
邢炎初,18
卓忠三,4
周濟良,104
周懷璸,2
孟廷杰,16
林以哲,40
林秉仁,12
林彥增,2
林湖舫,3
林達,4
林輝煌,1
邵毅,1
金再人,3
侯東昇,3
姜仁脩,2
姜元良,1
姜瑞林,3
施小凡,1
施正國,2
柯良彥,7
柯慶生,1
洪昶,1
洪瀾,2
胡文英,1
胡志成,1
胡開誠,3
胡慎義,31
胡穎之,32
范明賢,28
范家承,14
范覺非,84
唐湘清,1
夏錫龍,1
孫長勛,75
孫恒瑞,3
徐潤安,1
徐啓謨,1
晉傳棟,184
桑振業,39
殷敬文,4
袁岳衡,2
袁約民,13
袁祖揚,4
馬世英,1
馬光漢,6
馬華欽,7
高景全,1
高壽璞,4
張仁寧,1
張世養,14
張幼文,15
張有忠,1
張江鏐,2
張志青,1
張忠傑,2
張政衡,1
張益群,44
張清淮,1
張清雲,1
張蓉成,48
張齊斌,27
曹重,2
梁炳仁,10
梁儒林,3
梅省吾,2
梅綬蓀,150
莫克伏,1
許可仁,2
許遠佞,6
郭政熙,87
郭哲二,2
陳大文,1
陳守煌,2
陳里己,2
陳明堂,9
陳則先,124
陳英,14
陳敏生,1
陳清碧,24
陳賢權,13
陳濟民,5
陳聰敏,52
陳耀能,34
陳峯吉,9
陸耀東,2
章琳,5
章墨卿,8
彭國壎,18
曾豈凡,128
曾廣善,21
覃康平,2
馮際春,2
黃世昌,27
黃台富,27
黃業永,40
黃嘉烈,5
黃耀貴,65
黑樂山,3
楊長齡,2
楊威,52
楊建和,2
楊森土,13
楊錦龍,2
葉金寶,10
董明正,9
董舒翹,2
董維藩,1
詹敦仁,3
鄔輝珩,2
廖佩德,10
端木棪,307
臧家正,33
趙子璋,4
趙公嘏,67
趙孝庭,1
趙家輝,66
趙紫健,52
趙樹基,23
劉日安,2
劉台,1
劉正寬,1
劉守垿,3
劉志成,3
劉志增,4
劉岳平,3
劉啟華,2
劉夢熊,1
劉漢英,25
劉興業,28
劉衡慶,32
劉錫琰,1
劉錦安,1
劉鴻傑,1
暫無資料,6231
歐陽一生,2
潘長生,67
蔡瑞祥,1
蔡慕陶,3
蔡籐雄,174
諸家駿,2
鄭金溪,1
黎盛杲,1
蕭與規,284
駱文翰,20
龍雲翔,1
戴民貴,2
戴銀生,6
鞠金蕾,7
韓延年,50
韓泰,1
韓敏樹,1
聶振勳,1
聶開國,16
藍啟然,22
藍啓然,2
顏忠魯,203
關保華,1
關鴻謨,43
嚴同暉,387
顧知,2
龔建民,28
凃柔宜,1
